PopID	Round	defense	TrayID	mom.indiv	Mom	Indiv	Remains.pro	Eaten.pro	MostEat	EatDiffI.N	Eaten.arsq	MostEat.Scan	EatenRatioI.N	Eatenlog	eat.bin	def.round.tray	Origin	def.round.tray.or	Eaten.mm	Eaten.log	Latitude	Longitude
1		2	const	2-17		NA		1	0		0	0	tie	NA	NA	2	const. 2 2-17	inv	const. 2 2-17 inv	0	0	NA	NA
2		2	const	2-17				1	0		0	0	tie	NA	NA	2	const. 2 2-17	nat	const. 2 2-17 nat	0	0	NA	NA
3	BG001	2	const	3-6	25h	25	h	0.913	0.087	inv	0.192	17.154762949028	nat	3.20689655172414	1.16530366316678	1	const. 2 3-6	nat	const. 2 3-6 nat	0.6699	0.51276374439625	43.3819444444444	28.4575
4	BG001	1	ind	4-9	25e	25	e	0.932	0.068	inv	0.175	15.1154374781804	nat	3.57352941176471	1.27355373816444	1	induced 1 4-9	nat	induced 1 4-9 nat	0.4284	0.356554936738156	43.3819444444444	28.4575
5	BG001	2	ind	6-11	16a	16	a	1	0	inv	0.023	0	nat	Inf	Inf	1	induced 2 6-11	nat	induced 2 6-11 nat	0	0	43.3819444444444	28.4575
6	BG001	1	const	1-6	25f	25	f	0.739	0.261	inv	0.1	30.7221519493845	nat	1.38314176245211	0.324357551010187	1	const. 1 1-6	nat	const. 1 1-6 nat	2.0097	1.10184040601954	43.3819444444444	28.4575
7	BG001	1	const	2-6	17j	17	j	0.972	0.028	nat	-0.028	9.63260122870171	inv	0	-Inf	0	const. 1 2-6	nat	const. 1 2-6 nat	0.2156	0.195237782060501	43.3819444444444	28.4575
8	CA001	1	ind	4-3	2c	2	c	0.973	0.027	nat	-0.307	9.45741772806211	inv	0.0808383233532934	-2.51530412697237	1	induced 1 4-3	inv	induced 1 4-3 inv	0.1701	0.157089215242775	49.0149388888889	-122.882097222222
9	CA001	2	ind	5-17	2e	2	e	0.979	0.021		-0.072	8.33217232558079	inv	0.225806451612903	-1.48807705542983	1	induced 2 5-17	inv	induced 2 5-17 inv	0.1323	0.124250962337857	49.0149388888889	-122.882097222222
10	CA001	1	const	1-1	6a	6	a	0.757	0.243	nat	-0.343	29.5342796820297	inv	0.414675767918089	-0.880258346236464	1	const. 1 1-1	inv	const. 1 1-1 inv	1.8711	1.05469523160165	49.0149388888889	-122.882097222222
11	CA001	2	ind	5-19	2e	2	e	0.541	0.459	inv	0.454	42.6476522217883	nat	91.8	4.51961229762644	0	induced 2 5-19	inv	induced 2 5-19 inv	2.8917	1.35884608016066	49.0149388888889	-122.882097222222
12	CA001	2	const	3-2	3j	3	j	0.81	0.19	nat	-0.17	25.8415811818669	inv	0.527777777777778	-0.63907995928967	1	const. 2 3-2	inv	const. 2 3-2 inv	1.463	0.901380119138401	49.0149388888889	-122.882097222222
13	CA001	1	ind	4-2	2c	2	c	0.76	0.24	inv	0.128	29.3334751617947	nat	2.14285714285714	0.762140052046897	0	induced 1 4-2	inv	induced 1 4-2 inv	1.512	0.921079248605952	49.0149388888889	-122.882097222222
14	CA001	2	ind	5-18	2e	2	e	0.746	0.254	inv	0.048	30.2635278838286	nat	1.23300970873786	0.209458098228956	0	induced 2 5-18	inv	induced 2 5-18 inv	1.6002	0.955588365145931	49.0149388888889	-122.882097222222
15	CA001	1	const	1-2	6a	6	a	0.715	0.285	inv	0.139	32.2657809445879	nat	1.95205479452055	0.668882558560314	0	const. 1 1-2	inv	const. 1 1-2 inv	2.1945	1.16143058106026	49.0149388888889	-122.882097222222
16	CA001	1	const	1-3	6a	6	a	0.499	0.501	nat	0.223	45.0566828100535	nat	1.80215827338129	0.588984987394228	0	const. 1 1-3	inv	const. 1 1-3 inv	3.8577	1.58056507486498	49.0149388888889	-122.882097222222
17	CA001	1	ind	4-1	2c	2	c	0.591	0.409	inv	0.338	39.7563211696497	nat	5.76056338028169	1.75103527900149	0	induced 1 4-1	inv	induced 1 4-1 inv	2.5767	1.27444058759556	49.0149388888889	-122.882097222222
18	CA001	2	const	3-1	3j	3	j	0.894	0.106		0.083	19.000241876877	nat	4.60869565217391	1.52794487818292	0	const. 2 3-1	inv	const. 2 3-1 inv	0.8162	0.596746406273591	49.0149388888889	-122.882097222222
19	CA001	2	const	3-3	3j	3	j	0.897	0.103	nat	-0.07	18.7192928638987	inv	0.595375722543353	-0.518562606268143	1	const. 2 3-3	inv	const. 2 3-3 inv	0.7931	0.583945965516181	49.0149388888889	-122.882097222222
20	CA007	2	const	2-18	2a	2	a	1	0	nat	-0.246	0	inv	0	-Inf	1	const. 2 2-18	inv	const. 2 2-18 inv	0	0	49.2961027777778	-118.473830555556
21	CA007	2	ind	6-11	4a	4	a	0.977	0.023	inv	0.023	8.72287517594834	nat	Inf	Inf	0	induced 2 6-11	inv	induced 2 6-11 inv	0.1449	0.13531729694763	49.2961027777778	-118.473830555556
22	CA007	2	const	2-20	2a	2	a	0.996	0.004	nat	-0.055	3.62607409886713	inv	0.0677966101694915	-2.69124308278583	1	const. 2 2-20	inv	const. 2 2-20 inv	0.0308	0.0303351997960729	49.2961027777778	-118.473830555556
23	CA007	1	const	2-7	4a	4	a	0.959	0.041	inv	0.041	11.6821285613877	nat	Inf	Inf	0	const. 1 2-7	inv	const. 1 2-7 inv	0.3157	0.274368843389656	49.2961027777778	-118.473830555556
24	CA007	2	const	2-19	2a	2	a	1	0		0	0	tie	NA	NA	2	const. 2 2-19	inv	const. 2 2-19 inv	0	0	49.2961027777778	-118.473830555556
25	CA007	1	ind	4-5	2a	2	a	0.355	0.645	inv	0.479	53.4282511062708	nat	3.8855421686747	1.35726252843923	0	induced 1 4-5	inv	induced 1 4-5 inv	4.0635	1.6220579437902	49.2961027777778	-118.473830555556
26	CA007	1	const	2-6	4a	4	a	1	0	nat	-0.028	0	inv	0	-Inf	1	const. 1 2-6	inv	const. 1 2-6 inv	0	0	49.2961027777778	-118.473830555556
27	CA007	2	ind	6-9	4a	4	a	1	0	nat	-0.078	0	inv	0	-Inf	1	induced 2 6-9	inv	induced 2 6-9 inv	0	0	49.2961027777778	-118.473830555556
28	CA007	1	const	2-5	4a	4	a	0.842	0.158	inv	0.158	23.4211746092813	nat	Inf	Inf	0	const. 1 2-5	inv	const. 1 2-5 inv	1.2166	0.795974490359415	49.2961027777778	-118.473830555556
29	CA007	1	ind	4-4	2a	2	a	0.632	0.368	inv	0.212	37.3457213476798	nat	2.35897435897436	0.858226930919394	0	induced 1 4-4	inv	induced 1 4-4 inv	2.3184	1.19948273905307	49.2961027777778	-118.473830555556
